ID,발송일,"발송채널 (noti : 네이버앱, npay: 페이앱)",서비스명,발송 문구,발송회원수,클릭회원수,클릭율,클릭까지 소요된 평균 분(Minutes)
1,2024-01-01,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3203,570,17.796,6050.787719
2,2024-01-01,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,7797,905,11.607,16150.77901
3,2024-01-01,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,16109,1976,12.266,20315.41852
4,2024-01-01,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,4700,546,11.617,11430.04579
5,2024-01-02,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,2842,475,16.714,4128.532632
6,2024-01-02,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,8353,951,11.385,14458.61199
7,2024-01-02,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,11670,1426,12.219,18895.97616
8,2024-01-02,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,3122,401,12.844,8661.466334
9,2024-01-03,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3182,460,14.456,4556.693478
10,2024-01-03,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,5721,584,10.208,10782.44007
11,2024-01-03,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,8678,1010,11.639,15873.35446
12,2024-01-04,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,2994,432,14.429,5351.5625
13,2024-01-04,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,6441,695,10.79,8168.210072
14,2024-01-04,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,20057,2482,12.375,23187.16197
15,2024-01-04,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,7617,825,10.831,16994.88485
16,2024-01-05,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,6148,707,11.5,17213.70156
17,2024-01-05,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,25638,3155,12.306,22678.61585
18,2024-01-05,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,8091,949,11.729,11229.48261
19,2024-01-05,noti,주택담보대출비교,(광고)⌛사전신청 마감임박! 주담대 이자 줄이고 최대 1️⃣만원도 받자> ,676488,43835,6.48,1169.205521
20,2024-01-08,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,2167,268,12.367,4968.365672
21,2024-01-08,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,5667,566,9.988,6127.355124
22,2024-01-08,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,16356,1920,11.739,16888.6724
23,2024-01-08,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,4524,436,9.637,13944.82798
24,2024-01-09,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3318,327,9.855,5711.366972
25,2024-01-09,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,26452,3287,12.426,18671.5756
26,2024-01-09,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,7520,669,8.896,16862.6009
27,2024-01-09,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,7935,838,10.561,7140.599045
28,2024-01-10,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3689,409,11.087,3993.374083
29,2024-01-10,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,35261,4116,11.673,18894.4174
30,2024-01-10,noti,주택담보대출비교,🔔(광고) 🏠우리 집 이자 줄일 수 있을까? 순위에 들면 최대 1️⃣0️⃣만원이 > ,473903,29907,6.311,1042.496673
31,2024-01-10,noti,신용대환대출,(광고) 아직 고민 중이세요? 내 대출 금리·한도 마저 비교하기👉 ,10590,1037,9.792,9508.406943
32,2024-01-10,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,7224,590,8.167,13948.79661
33,2024-01-11,noti,신용대환대출,(광고) 대출 갈아타기 좋은 시간이 시작됐어요👉 ,30928,3481,11.255,19927.16892
34,2024-01-11,noti,주택담보대출비교,🔔(광고) 🏠우리 집 이자 줄일 수 있을까? 순위에 들면 최대 1️⃣0️⃣만원이 > ,514217,23080,4.488,1131.370017
